Scenario,Algorithm,Total Tasks,High Priority Tasks,Low Priority Tasks,High Met Deadline,Low Met Deadline,Total Met Deadline,High Success Rate (%),Low Success Rate (%),Total Success Rate (%),Makespan,Composite Performance Score (%),Avg Response Time,Avg Waiting Time,Simulation Time
Challenge 4: Alpha Matters,DPE (α=0.5),5,3,2,3,2,5,100.0,100.0,100.0,7,100.0,3.8,2.0,7
Challenge 4: Alpha Matters,DPE (α=0.7),5,3,2,3,2,5,100.0,100.0,100.0,7,100.0,3.8,2.0,7
Challenge 4: Alpha Matters,DPE (α=0.9),5,3,2,3,2,5,100.0,100.0,100.0,7,100.0,3.8,2.0,7
Challenge 5: Priority Inversion,SPT,3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,8.67,6.5,13
Challenge 5: Priority Inversion,EDF,3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,9.0,7.0,13
Challenge 5: Priority Inversion,Priority-First,3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,9.0,7.0,13
Challenge 5: Priority Inversion,DPE (α=0.3),3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,9.0,7.0,13
Challenge 5: Priority Inversion,DPE (α=0.5),3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,9.0,7.0,13
Challenge 5: Priority Inversion,DPE (α=0.7),3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,9.0,7.0,13
Challenge 5: Priority Inversion,DPE (α=0.9),3,2,1,0,1,1,0.0,100.0,33.33,13,50.0,9.0,7.0,13
Extreme 1: Starvation Guaranteed,SPT,7,6,1,6,0,6,100.0,0.0,85.71,17,92.31,4.14,2.0,17
Extreme 1: Starvation Guaranteed,EDF,7,6,1,6,1,7,100.0,100.0,100.0,17,100.0,6.71,5.0,17
Extreme 1: Starvation Guaranteed,Priority-First,7,6,1,6,0,6,100.0,0.0,85.71,17,92.31,4.14,2.0,17
Extreme 1: Starvation Guaranteed,DPE (α=0.3),7,6,1,6,1,7,100.0,100.0,100.0,17,100.0,5.43,3.5,17
Extreme 1: Starvation Guaranteed,DPE (α=0.5),7,6,1,6,1,7,100.0,100.0,100.0,17,100.0,4.57,2.5,17
Extreme 1: Starvation Guaranteed,DPE (α=0.7),7,6,1,6,0,6,100.0,0.0,85.71,17,92.31,4.14,2.0,17
Extreme 1: Starvation Guaranteed,DPE (α=0.9),7,6,1,6,0,6,100.0,0.0,85.71,17,92.31,4.14,2.0,17
Extreme 2: Alpha Critical,SPT,8,7,1,7,0,7,100.0,0.0,87.5,27,93.33,6.0,3.0,27
Extreme 2: Alpha Critical,EDF,8,7,1,7,1,8,100.0,100.0,100.0,27,100.0,8.62,6.0,27
Extreme 2: Alpha Critical,Priority-First,8,7,1,7,0,7,100.0,0.0,87.5,27,93.33,6.0,3.0,27
Extreme 2: Alpha Critical,DPE (α=0.3),8,7,1,7,1,8,100.0,100.0,100.0,27,100.0,7.5,4.71,27
Extreme 2: Alpha Critical,DPE (α=0.5),8,7,1,7,1,8,100.0,100.0,100.0,27,100.0,6.75,3.86,27
Extreme 2: Alpha Critical,DPE (α=0.7),8,7,1,7,1,8,100.0,100.0,100.0,27,100.0,6.38,3.43,27
Extreme 2: Alpha Critical,DPE (α=0.9),8,7,1,7,0,7,100.0,0.0,87.5,27,93.33,6.0,3.0,27
Extreme 3: SPT Fails,SPT,4,4,0,3,0,3,75.0,0,75.0,12,78.95,5.25,1.5,12
